Type,Management,year_restoration,Year,Transect,Evenness - functional,Richness - taxa,Richness - ant,detritivores,herb chew,herb suck,parasitoid,pollinator,predator,scavenger,vol_detritivores,vol_herb chew,vol_herb suck,vol_parasitoid,vol_pollinator,vol_predator,vol_scavenger,vol_total
GL,active,3,2017,BF34,0.1458532,7,0,0.01037851,0,0,0,0,0.98962149,0,4.450589593,0,0,0,0,424.3768076,0,428.8273972
CSS,active,3,2017,BF45,0.363383143,13,5,0.215935437,0,0.003964391,0.1174,0,0.569173318,0.093552555,199.6383957,0,3.665191429,108.5158462,0,526.2167695,86.49197274,924.5281756
GL,active,3,2017,BF47,0.186754491,13,0,0.864644796,0,0.001593108,0.0021,0,0.131637951,0,239.7755143,0,0.441786467,0.589048623,0,36.50465214,0,277.3110015
GL,active,3,2017,BF48,0.145328347,7,2,0.000818511,0.99143082,0,0,0,0,0.007744373,2.127120026,2576.498675,0,0.016362462,0,0,20.12582794,2598.767985
GL,active,3,2017,BF53,0.270913784,15,4,0.022937767,0.669966637,5.29E-05,0.0164,0,0.278417602,0.012264117,113.5063971,3315.296547,0.261799388,80.96146068,0,1377.735641,60.68837058,4948.450216
GL,active,3,2017,BF57,0.317383458,7,6,0.111114222,0,0,0,0,0.298320269,0.59056551,64.94261064,0,,0,0,174.3583923,345.1661304,584.4671333
CSS,passive,3,2017,BFP13,0.29297869,10,1,0.00929422,0,0,0.0051,0,0.522509439,0.463113564,1.047197551,0,0,0.572686161,0,58.87213733,52.17989048,112.6719115
GL,passive,3,2017,BFP14,0.165937502,9,3,0.014455869,0,0,0.0273,0,0.926804439,0.031456785,4.646939133,0,0,8.770279491,0,297.9277033,10.11200135,321.4569233
GL,passive,3,2017,BFP16,0.364791003,9,1,0.130681818,0,0.090909091,0.0227,0,0.578125,0.177556818,1.50534648,0,1.047197551,0.261799388,0,6.659521927,2.045307717,11.51917306
CSS,active,3,2017,owm1,0.37614134,12,7,0.076650554,0.527696881,0,0.000720569,0,0.104002162,0.290929835,41.77336482,287.5866275,0,0.392699082,0,56.67956746,158.5522542,544.9845131
CSS,active,3,2017,owm2,0.429532849,12,4,0.496497009,0.02764004,0.001135673,0.223551617,0,0.082040372,0.169135289,507.8908123,28.27433388,1.161734783,228.6817652,0,83.92306625,173.0166704,1022.948383
